id,date,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities
1828,05/03/2010,Clintwood,21.45604,,37.3212,-82.3434,"(37.321199999999997, -82.343400000000003)",Landslide,Mudslide,Small,Downpour,,,0
1829,05/03/2010,Jenkins,10.20803,,37.2482,-82.564,"(37.248199999999997, -82.563999999999993)",Landslide,Mudslide,Small,Downpour,,,0
1830,05/03/2010,Pikeville,8.90602,,37.4563,-82.4223,"(37.456299999999999, -82.422300000000007)",Landslide,Complex,Small,Downpour,,,0
1831,05/03/2010,Ironton,17.02627,Below road,38.6331,-82.5309,"(38.633099999999999, -82.530900000000003)",Landslide,Landslide,Medium,Downpour,,,0
1832,05/03/2010,Ironton,6.42411,,38.5805,-82.6347,"(38.580500000000001, -82.634699999999995)",Landslide,Landslide,Small,Downpour,,,0
1833,05/03/2010,Coal Grove,18.8887,,38.615,-82.4835,"(38.615000000000002, -82.483500000000006)",Landslide,Landslide,Small,Downpour,,,0
1834,05/03/2010,Esmeraldas,2.81891,,0.9374,-79.6671,"(0.93740000000000001, -79.667100000000005)",Landslide,Mudslide,Medium,Downpour,,,3
1836,05/04/2010,Cali,1.84941,,3.4205,-76.5222,"(3.4205000000000001, -76.522199999999998)",Landslide,Landslide,Medium,Downpour,,,0
1838,05/05/2010,Tijuana,2.4977,,32.525,-116.9999,"(32.524999999999999, -116.9999)",Landslide,Mudslide,Medium,Rain,,,0
1850,05/09/2010,Belle Meade,0.01307,,36.0959,-86.8568,"(36.0959, -86.856800000000007)",Landslide,Mudslide,Small,Downpour,,,0
1855,05/10/2010,Ironton,10.40449,,38.6198,-82.6276,"(38.619799999999998, -82.627600000000001)",Landslide,Landslide,Medium,Downpour,,,0
1859,5/14/10,North Kansas City,5.24463,,39.155,-94.5107,"(39.155000000000001, -94.5107)",Landslide,Mudslide,Small,Downpour,,,0
1869,5/16/10,Salyersville,7.52656,,37.6921,-83.0302,"(37.692100000000003, -83.030199999999994)",Landslide,Landslide,Small,Downpour,,,0
1872,5/17/10,Charleston,1.68022,,38.3534,-81.6513,"(38.353400000000001, -81.651300000000006)",Landslide,Mudslide,Small,Downpour,,,0
